,id,created_at,text,u_id,u_name,u_created_at,u_description,u_followers_count,type,c_country,u_screen_name,u_friends_count,location.lon,location.lat,geometry,index_right,name,base_year,name_eng,code
11784087,684234849398448129,1451969275000.0,"#20160104
#아오이토리 
파스타 잘나온것 서비스로 주심ㅋ
맛있게 잘먹었어요! 짱짱멘
내가 열심히 모았던 쿠폰 4장 이랑 현금이랑! 
#홍대 #맛집 #파스타 @… https://t.co/yuGcKevVXS",1110764755,Kisoo Moon,1358835659000.0,I'm a Singer Song Drummer of Rooster Ride(루스터라이드/ルースターライド). From Kyoto but Korean. Playing in Seoul Korea and Japan.,221,llp,KOR,singersongdr,299,126.92947681,37.55454896,POINT (126.92947681 37.55454896),210.0,서교동,2018,Seogyo-dong,1114066
11785310,688341404611821569,1452948354000.0,牛カツ🙊💕💕💕 #규카츠 #2시간반기다렸어 #홍대 #홍대맛집 #이자와 @ 홍대 이자와 https://t.co/b0VISr9Ql8,180977393,줄리 | Julie,1282349181000.0,힘찬 보고 있니 ?_? @BAP_Himchan,764,llp,KOR,himchansdimple,492,126.92667730000001,37.5556296,POINT (126.9266773 37.5556296),210.0,서교동,2018,Seogyo-dong,1114066
11789569,687519299812986881,1452752349000.0,"Brunch game strong with stephkim94 
#koreaxmary 
.
.
.
.
.
#홍대 #홍대맛집 #먹스타그램 #먹방 #맛스타그램 #맛있어 #일상… https://t.co/049B1Mwg7S",1640589474,Mary Seo,1375454679000.0,"Food, style, beauty, photography, fitness",68,llp,KOR,maryseeo,64,126.92291262,37.55419218,POINT (126.92291262 37.55419218),210.0,서교동,2018,Seogyo-dong,1114066
11790170,683159621779980288,1451712920000.0,찐자매워 ㅠㅠㅠㅠㅠㅠ 하지만...얼마나 맛있는지 몰라요 ㅠㅠㅠㅠㅠㅠ #홍대맛집 #고수닭갈비 😍😍😍😍😍😍 @ 홍대 고수닭갈비 https://t.co/y3oElZTCqY,548224354,Rachel11061226,1333869562000.0,"SUPERJUNIOR,Only13.TVXQ,Forever5.❤️Do not removed logo and edit photo!!!weibo:RL求赫海贤敏云旭有秀允在出柜☀️",10,llp,KOR,RichelLuo,57,126.92229331,37.55272938,POINT (126.92229331 37.55272938),210.0,서교동,2018,Seogyo-dong,1114066
11790906,690806044520509440,1453535970000.0,엉클스..떡볶이 오징어튀김 토핑! #먹스타그램 #맛집 #홍대 @ 엉클스 홍대점 https://t.co/gPDlJuEsWp,221033694,스투시,1291043694000.0,*Marketing/AD/DigitalMarketing/SocialMedia *블로그 http://goo.gl/UklMJi *페이스북 http://goo.gl/RpHQKA *카카오스토리 https://goo.gl/JB6mAh,3271,llp,KOR,stussygo,1000,126.92313617,37.55500117,POINT (126.92313617 37.55500117),210.0,서교동,2018,Seogyo-dong,1114066
11791332,691873133096243200,1453790383000.0,핸드드립 커피~ 에티오피아 시다모 구찌 #maysbean #커피마싯다고전해라 #홍대맛집 #머찐쥔장 @ 메이스빈 MAY's Bean https://t.co/x5mU2RR1vm,61640325,임정희,1248999300000.0,"Job:Nuskin Enterprise IBO / My Favorite...Coffee/Barista,Movie,Billiard,SnowBoard,Travel,DSLR,iPhone etc...",3373,llp,KOR,SexyWolfman,3739,126.92508653,37.55944928,POINT (126.92508653 37.55944928),210.0,서교동,2018,Seogyo-dong,1114066
11795049,686907008130265088,1452606367000.0,평일 오후6시에 가도 웨이팅 1시간이 걸리는 #홍대이자와 #이자와 #규카츠 #홍대맛집 #홍대 #hongdae #seoul #korea 입니다. #여성전용게스트하우스… https://t.co/tJ7BfW5xrZ,4220363772,JOOHOUSE for female,1447394601000.0,http://instagram.com/joo.house 안녕하세요 홍대와 신촌 사이에 위치한 여성전용게스트하우스 주하우스(JOOHOUSE for female guesthouse)입니다 :-) http://blog.naver.com/joohouse1,24,llp,KOR,joo_house,67,126.92667730000001,37.5556296,POINT (126.9266773 37.5556296),210.0,서교동,2018,Seogyo-dong,1114066
11798884,700731867746717696,1455902470000.0,불금! #맛집 #먹스타그램 #나나노 @ 홍대 니나노 https://t.co/dG0M2CgvnD,221033694,스투시,1291043694000.0,*Marketing/AD/DigitalMarketing/SocialMedia *블로그 http://goo.gl/UklMJi *페이스북 http://goo.gl/RpHQKA *카카오스토리 https://goo.gl/JB6mAh,3267,llp,KOR,stussygo,999,126.91898313,37.54880648,POINT (126.91898313 37.54880648),210.0,서교동,2018,Seogyo-dong,1114066
11799015,697984992471724034,1455247564000.0,#홍대맛집 #일본 가정식 @ 홍대 https://t.co/N8mCmnEOJy,135306140,joo hyun ryu,1271805075000.0,changemind 상담센터 대표,69,llp,KOR,luzysal76,119,126.92535916,37.55837483,POINT (126.92535916 37.55837483),210.0,서교동,2018,Seogyo-dong,1114066
11800185,698085051658084352,1455271420000.0,"진짜 베트남 음식 정말 맛나요~~
#Anhseoul #연남동 #베트남쌀국수 #베트남커피 #베트남요리 #연남동맛집 @ 연남동 경의선숲길 https://t.co/EL7rnxorI0",607827267,배상식(실시간 맞팔),1339640867000.0,"보통 남편 
modern natural life style",2852,llp,KOR,iambss77,3029,126.92434292,37.56002712,POINT (126.92434292 37.56002712),210.0,서교동,2018,Seogyo-dong,1114066
11801234,696364840844021760,1454861290000.0,#맛스타그램 #먹스타그램 #맛집 #도마 #소고기 #된장찌개 #갈비살 #고기 #소개팅 ㅋㅋ 맛있어요. 고기 구워주는 남자 히히 @ 소고기 끝판왕 홍대 도마 https://t.co/IlqQQzGk2H,142503681,김규현,1273542989000.0,"사람과 사진과 책을 좋아하는 한톨이입니다.사랑, 자유, 평등, 신뢰, 성실이라는 단어가 지금보다 덜 절실한 세상을 원합니다.",207,llp,KOR,Chekyubary,262,126.92105971,37.55330851,POINT (126.92105971 37.55330851),210.0,서교동,2018,Seogyo-dong,1114066
11801341,696877218622869504,1454983450000.0,#홍대 #맛집 #이자카야 #izakaya #먹스타그램 #맛스타그램 #술스타그램 #안주 #이상 #계란말이 #짬뽕 #나가사키짬뽕 #명란계란말이 맛있네~ 근데 사케를 두… https://t.co/aZBadwoDir,142503681,김규현,1273542989000.0,"사람과 사진과 책을 좋아하는 한톨이입니다.사랑, 자유, 평등, 신뢰, 성실이라는 단어가 지금보다 덜 절실한 세상을 원합니다.",207,llp,KOR,Chekyubary,262,126.91912818,37.54896685,POINT (126.91912818 37.54896685),210.0,서교동,2018,Seogyo-dong,1114066
11805719,699224050061545473,1455542979000.0,#오꼬루나 #레드벨벳 #보틀케이크 진짜 맛있어!! #합정 #나무의시간 오면 먹을 수 있지&gt;_&lt; #추천 #맛집 스트레스 받을 땐 역시 먹어야한다. @ 나무의 시간 https://t.co/bc2RVRhI1D,328016354,곰실,1309621158000.0,,162,llp,KOR,gomsile_v,55,126.91339364,37.55181177,POINT (126.91339364 37.55181177),210.0,서교동,2018,Seogyo-dong,1114066
11808143,699152932080455680,1455526023000.0,#홍대맛집 #대만 누들 @ 홍대 https://t.co/QPwq8tm7Xe,135306140,joo hyun ryu,1271805075000.0,changemind 상담센터 대표,72,llp,KOR,luzysal76,122,126.92535916,37.55837483,POINT (126.92535916 37.55837483),210.0,서교동,2018,Seogyo-dong,1114066
11809274,703286521454063616,1456511547000.0,"#150226
#제임스치즈등갈비#점심스타그램#점심#갈비#맛집#맛있다#생일축하#한국#여행스타그램#먹스타그램 @ 홍대 제이스 https://t.co/nMTVUcEJV9",139411009,S.Y,1272811044000.0,더블에스오공일 ♥♥♥♥♥,15,llp,KOR,SSinYi,101,126.92197659999998,37.557792,POINT (126.9219766 37.557792),210.0,서교동,2018,Seogyo-dong,1114066
11809486,701966021213577216,1456196716000.0,#합정맛집👍 #브루브로스 #브루브로스커피 @ 브루브로스 커피 https://t.co/ck4UWrofo6,94938730,레이니,1260075892000.0,상식이 통하는 사회! 사람 사는 세상!,346,llp,KOR,rainyinet,872,126.92058772,37.55212909,POINT (126.92058772 37.55212909),210.0,서교동,2018,Seogyo-dong,1114066
11809882,703284678099410944,1456511108000.0,"#160225
#설빙#홍대#맛집#맛있다#ice#빵#딸기#친구#친구스타그램#친스타그램#friend @ 홍대 설빙 https://t.co/dyJEMLTAva",139411009,S.Y,1272811044000.0,더블에스오공일 ♥♥♥♥♥,15,llp,KOR,SSinYi,101,126.92299701,37.55232178,POINT (126.92299701 37.55232178),210.0,서교동,2018,Seogyo-dong,1114066
11811858,703831426605527040,1456641463000.0,"살살 녹아요~ 
.
.
.
.
.
.
#인스타그램 #맛스타그램 #먹스타그램 #신촌 #맛집 #서서갈비 #연남식당 #소갈비 #연탄구이 #맛있어요 #👍 @ 서서 먹는 갈비집 연남식당 https://t.co/NMsSvqR39H",169533547,캐롤,1279812772000.0,감정의 시소,484,llp,KOR,oooCaroLooo,167,126.93542916,37.55432837,POINT (126.93542916 37.55432837),210.0,서교동,2018,Seogyo-dong,1114066
11813119,702297891549929473,1456275840000.0,Indian/Nepal food in Hongdae! So tasty! With two cool boys! #hongdaeyeti #홍대맛집 #인도음식 #인도커리#갈릭난… https://t.co/g0E4qvdYxV,142165319,MrGwon,1273465629000.0,My Korean Husband !! What a nice!,712,llp,KOR,HughGwon,206,126.92348022,37.55061907,POINT (126.92348022 37.55061907),210.0,서교동,2018,Seogyo-dong,1114066
11813829,701637865973817344,1456118477000.0,#히메지 #맛집 @ 홍대 https://t.co/WrHSfMFGP3,135306140,joo hyun ryu,1271805075000.0,changemind 상담센터 대표,70,llp,KOR,luzysal76,125,126.92535916,37.55837483,POINT (126.92535916 37.55837483),210.0,서교동,2018,Seogyo-dong,1114066
11818173,704684974172200960,1456844964000.0,#마카롱 #디저트 #얼그레이마카롱 #홍대 #카페 #맛 #맛집 #맛스타그램 #먹 #먹방 #먹짤 #먹방샷 #먹스타그램 #언니네 #macaron #earlgrey… https://t.co/9esdUJ7oIn,300862933,Songpyun,1305726658000.0,"illustration,comic,art",211,llp,KOR,songpyun,396,126.91699566,37.553867499999996,POINT (126.91699566 37.5538675),210.0,서교동,2018,Seogyo-dong,1114066
11818177,704685156829892608,1456845008000.0,#마카롱 #디저트 #얼그레이마카롱 #홍대 #카페 #맛 #맛집 #맛스타그램 #먹 #먹방 #먹짤 #먹방샷 #먹스타그램 #언니네 #macaron #earlgrey… https://t.co/1fyWQsdPJC,300862933,Songpyun,1305726658000.0,"illustration,comic,art",211,llp,KOR,songpyun,396,126.91699566,37.553867499999996,POINT (126.91699566 37.5538675),210.0,서교동,2018,Seogyo-dong,1114066
11818217,704685476716879872,1456845084000.0,#마카롱 #디저트 #얼그레이마카롱 #홍대 #카페 #맛 #맛집 #맛스타그램 #먹 #먹방 #먹짤 #먹방샷 #먹스타그램 #macaron #earlgrey… https://t.co/0wC5Aohsln,300862933,Songpyun,1305726658000.0,"illustration,comic,art",211,llp,KOR,songpyun,396,126.91699566,37.553867499999996,POINT (126.91699566 37.5538675),210.0,서교동,2018,Seogyo-dong,1114066
11819559,705618499608125440,1457067534000.0,"기분 좋아지는 #후쿠오카함바그
살살 구워먹는 재미가 색다르지
다가온 주말에는 여기나 가볼까나?
#후쿠오카 #함바그 #맛집기행#맛스타그램 #먹방 #먹방여행 #rx100m3… https://t.co/vqvmwPBUuJ",121070591,KIMKIJEONG,1268045083000.0,세상.. 어디든지 가보자라는 마인드를 가지고 여행을 다니는 꿈꾸는 여행자. 여행을 다니면서 즐거움을 얻고 새로운 정보를 알리고 많은 분들과 친해지고 싶어요~,1121,llp,KOR,dreamstraveler,1270,126.92673627,37.55581845,POINT (126.92673627 37.55581845),210.0,서교동,2018,Seogyo-dong,1114066
11823033,705747925029273601,1457098392000.0,401restaurant!! #401 #restaurant #레스토랑 #제주돼지 #미국산프리미엄소고기 #원조대구막창 #하하 #HaHa #홍대 #홍대맛집 #무한도전… https://t.co/WPmzJq5GdA,121067027,kim sang kyun,1268044093000.0,개미  홍대,3119,llp,KOR,nijunoaschool,66,126.92047162,37.55080133,POINT (126.92047162 37.55080133),210.0,서교동,2018,Seogyo-dong,1114066
11823670,714037328088535040,1459074739000.0,"#20160327
나의 밥스사랑 
#밥스바비 #연남동 
#핫도그 #홍대맛집 
#물물교환 #더블1955버거 
#비비큐프리미엄도그 @ bob's barbie 연남점 https://t.co/bLxIwov3hg",1110764755,Kisoo Moon,1358835659000.0,I'm a Happy Drummer of Kickstart .Singing Dancing Dr. of ex-Rooster Ride(ルースターライド). Born in Kyoto but Korean. Playing in Korea and Japan. 京都生まれの歌う韓国人ドラマー。,229,llp,KOR,singersongdr,304,126.92393034,37.56016787,POINT (126.92393034 37.56016787),210.0,서교동,2018,Seogyo-dong,1114066
11823890,713995614372151297,1459064794000.0,딸기생크림 &amp; 핫초코 🍰☕️ #홍대맛집#카페피오니 @ Cafe Peony https://t.co/2Wlg2aVwNK,370136088,잠탱아 ~,1315492567000.0,괜찮은 척 웃고 있지만 사실 난 그렇지 않아,46,llp,KOR,ferrifern,192,126.92462086,37.55340959,POINT (126.92462086 37.55340959),210.0,서교동,2018,Seogyo-dong,1114066
